# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 209:         4.518       52.465       0.00  IJMOND
# 210:         4.430       52.171      -0.20  VALKENBURG
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 242:         4.921       53.241      10.80  VLIELAND
# 248:         5.174       52.634       0.80  WIJDENES
# 249:         4.979       52.644      -2.40  BERKHOUT
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 260:         5.180       52.100       1.90  DE BILT
# 265:         5.274       52.130      13.90  SOESTERBERG
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 273:         5.888       52.703      -3.30  MARKNESSE
# 275:         5.873       52.056      48.20  DEELEN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 278:         6.259       52.435       3.60  HEINO
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 290:         6.891       52.274      34.80  TWENTHE
# 308:         3.379       51.381       0.00  CADZAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 315:         3.998       51.447       0.00  HANSWEERT
# 316:         3.694       51.657       0.00  SCHAAR
# 319:         3.861       51.226       1.70  WESTDORPE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 324:         4.006       51.596       0.00  STAVENISSE
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 331:         4.193       51.480       0.00  THOLEN
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 348:         4.926       51.970      -0.70  CABAUW
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 356:         5.146       51.859       0.70  HERWIJNEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 375:         5.707       51.659      22.00  VOLKEL
# 377:         5.763       51.198      30.00  ELL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 391:         6.197       51.498      19.50  ARCEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); 
# EV24     = Referentiegewasverdamping (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   TG,   RH,   UG, EV24
# 
  209,20170627,     ,     ,     ,     
  209,20170628,     ,     ,     ,     
  209,20170629,     ,     ,     ,     
  209,20170630,     ,     ,     ,     
  209,20170701,     ,     ,     ,     
  209,20170702,     ,     ,     ,     
  209,20170703,     ,     ,     ,     
  209,20170704,     ,     ,     ,     
  209,20170705,     ,     ,     ,     
  209,20170706,     ,     ,     ,     
  209,20170707,     ,     ,     ,     
  209,20170708,     ,     ,     ,     
  209,20170709,     ,     ,     ,     
  209,20170710,     ,     ,     ,     
  209,20170711,     ,     ,     ,     
  209,20170712,     ,     ,     ,     
  209,20170713,     ,     ,     ,     
  209,20170714,     ,     ,     ,     
  209,20170715,     ,     ,     ,     
  209,20170716,     ,     ,     ,     
  209,20170717,     ,     ,     ,     
  209,20170718,     ,     ,     ,     
  209,20170719,     ,     ,     ,     
  209,20170720,     ,     ,     ,     
  209,20170721,     ,     ,     ,     
  209,20170722,     ,     ,     ,     
  209,20170723,     ,     ,     ,     
  209,20170724,     ,     ,     ,     
  209,20170725,     ,     ,     ,     
  209,20170726,     ,     ,     ,     
  209,20170727,     ,     ,     ,     
  209,20170728,     ,     ,     ,     
  209,20170729,     ,     ,     ,     
  209,20170730,     ,     ,     ,     
  209,20170731,     ,     ,     ,     
  209,20170801,     ,     ,     ,     
  209,20170802,     ,     ,     ,     
  209,20170803,     ,     ,     ,     
  209,20170804,     ,     ,     ,     
  209,20170805,     ,     ,     ,     
  209,20170806,     ,     ,     ,     
  209,20170807,     ,     ,     ,     
  209,20170808,     ,     ,     ,     
  209,20170809,     ,     ,     ,     
  209,20170810,     ,     ,     ,     
  209,20170811,     ,     ,     ,     
  209,20170812,     ,     ,     ,     
  209,20170813,     ,     ,     ,     
  209,20170814,     ,     ,     ,     
  209,20170815,     ,     ,     ,     
  209,20170816,     ,     ,     ,     
  209,20170817,     ,     ,     ,     
  209,20170818,     ,     ,     ,     
  209,20170819,     ,     ,     ,     
  209,20170820,     ,     ,     ,     
  209,20170821,     ,     ,     ,     
  209,20170822,     ,     ,     ,     
  209,20170823,     ,     ,     ,     
  209,20170824,     ,     ,     ,     
  209,20170825,     ,     ,     ,     
  209,20170826,     ,     ,     ,     
  209,20170827,     ,     ,     ,     
  209,20170828,     ,     ,     ,     
  209,20170829,     ,     ,     ,     
  209,20170830,     ,     ,     ,     
  209,20170831,     ,     ,     ,     
  209,20170901,     ,     ,     ,     
  209,20170902,     ,     ,     ,     
  209,20170903,     ,     ,     ,     
  209,20170904,     ,     ,     ,     
  209,20170905,     ,     ,     ,     
  209,20170906,     ,     ,     ,     
  209,20170907,     ,     ,     ,     
  209,20170908,     ,     ,     ,     
  209,20170909,     ,     ,     ,     
  209,20170910,     ,     ,     ,     
  209,20170911,     ,     ,     ,     
  209,20170912,     ,     ,     ,     
  209,20170913,     ,     ,     ,     
  209,20170914,     ,     ,     ,     
  209,20170915,     ,     ,     ,     
  209,20170916,     ,     ,     ,     
  209,20170917,     ,     ,     ,     
  209,20170918,     ,     ,     ,     
  209,20170919,     ,     ,     ,     
  209,20170920,     ,     ,     ,     
  209,20170921,     ,     ,     ,     
  209,20170922,     ,     ,     ,     
  209,20170923,     ,     ,     ,     
  209,20170924,     ,     ,     ,     
  209,20170925,     ,     ,     ,     
  209,20170926,     ,     ,     ,     
  209,20170927,     ,     ,     ,     
  209,20170928,     ,     ,     ,     
  209,20170929,     ,     ,     ,     
  209,20170930,     ,     ,     ,     
  209,20171001,     ,     ,     ,     
  209,20171002,     ,     ,     ,     
  209,20171003,     ,     ,     ,     
  209,20171004,     ,     ,     ,     
  209,20171005,     ,     ,     ,     
  209,20171006,     ,     ,     ,     
  209,20171007,     ,     ,     ,     
  209,20171008,     ,     ,     ,     
  209,20171009,     ,     ,     ,     
  209,20171010,     ,     ,     ,     
  209,20171011,     ,     ,     ,     
  209,20171012,     ,     ,     ,     
  209,20171013,     ,     ,     ,     
  209,20171014,     ,     ,     ,     
  209,20171015,     ,     ,     ,     
  209,20171016,     ,     ,     ,     
  209,20171017,     ,     ,     ,     
  209,20171018,     ,     ,     ,     
  215,20161201,   91,    0,   86,    2
  215,20161202,   63,    3,   90,    3
  215,20161203,    2,    0,   91,    3
  215,20161204,   -6,    0,   83,    5
  215,20161205,  -16,    0,   85,    4
  215,20161206,    6,    0,   90,    4
  215,20161207,   68,    0,   81,    3
  215,20161208,   87,    5,   76,    3
  215,20161209,   96,    0,   92,    2
